Country,City,Line,Phase,Start_year,End_year,RR,Length,TunnelPer,Tunnel,Elevated,Atgrade,Stations,Platform_length_meters,Source1,Cost,Currency,Year,PPP_rate,Real_cost,Cost_km_millions,Anglo,Inflation_index,Real_cost_2023_dollars,Cost_km_2023_dollars,Source2,Reference1,Reference2,Reference3,Comments
JP,Tokyo,Sotetsu Shin-Yokohama,Sotetsu Shin-Yokohama JR Line,2010,2019,1,2.7,78,2.1,0,0,1,NaN,Measured,111400,JPY,2014,0.0097,1080.58,400.2148148,0,1.287096175,1390.810384,515.1149572,Media,https://resources.realestate.co.jp/living/faster-commute-and-lower-congestion-expected-as-sotetsu-main-line-and-jr-east-start-direct-rail-service-on-nov-30th/,NaN,NaN,NaN
JP,Tokyo,Sotetsu Shin-Yokohama,Sotetsu Shin-Yokohama Tokyu Line,2010,2022,1,10,80,8,0,0,2,NaN,Measured,290800,JPY,2016,0.0095,2762.6,276.26,0,1.269554638,3507.271643,350.7271643,Trade,https://www.decn.co.jp/?p=89391,NaN,NaN,"TunnelPer: Figure is approximate - there's a bit of elevated running at both ends, though both new stations (Shin-Yokohama, Shin-Tsunashima) are underground., Cost: Source says 402.2 billion across this project and the JR line, the figure 290.8 billion is by subtraction."
JP,Fukuoka,Nanakuma Line,Nanakuma Line extension,2014,2022,0,1.6,100,1.6,0,0,2,NaN,Wiki,58700,JPY,2018,0.01,587,366.875,0,1.21343491,712.2862923,445.1789327,Media,https://www.fukuoka-now.com/en/news/nanakuma-subway-line-extension-delayed/,NaN,NaN,NaN
BR,Sao Paulo,Line 6,Line 6 phase 1,2015,2023,0,15.9,84,13.4,0,0,15,NaN,Trade,9600,BRL,2020,0.44,4224,265.6603774,0,1.17731472,4972.977377,312.7658728,Trade,https://www.railjournal.com/passenger/metros/revival-of-sao-paulo-metro-line-6-orange-project-a-step-closer/,NaN,NaN,Year: Shifted later than the midpoint since only 15% of the project is complete as of 2019.
CH,Lucerne,Zentralbahn,Zentralbahn,2008,2013,1,1.5,90,1.4,0,0,1,NaN,Plan,220.2,CHF,2010,0.68,149.736,99.824,0,1.397356642,209.2345942,139.4897295,Plan,https://www.luzernerzeitung.ch/zentralschweiz/luzern/seetalplatz-und-zentralbahn-60-millionen-guenstiger-als-budgetiert-ld.1150224,NaN,NaN,Cost: Budget was 250 million but there was an underrun.
CH,Zurich,Durchmesserlinie,Durchmesserlinie,2007,2014,1,9.6,50,4.8,0.2,4.6,1,NaN,Trade,2030,CHF,2010,0.68,1380.4,143.7916667,0,1.397356642,1928.911109,200.9282405,Trade,https://www.railwaygazette.com/infrastructure/cross-city-tunnel-opening-increases-capacity-in-zurich/39619.article,NaN,NaN,NaN
JP,Tokyo,Tsukuba Express,Tsukuba Express,1997,2005,0,58.3,28,16.3,0,0,20,NaN,Plan,949400,JPY,2001,0.0077,7310.38,125.3924528,0,1.720508187,12577.56864,215.7387417,Plan,https://www.jlgc.org.uk/en/news_letter/funding-local-infrastructure-and-the-tsukuba-express/,NaN,NaN,NaN
IN,Bangalore,Green line,Phase 2,2017,2024,0,73.9,19,13.8,0,0,62,NaN,Trade,306950,INR,2020,0.047,14426.65,195.2185386,0,1.17731472,16984.70741,229.8336591,Media,https://www.metrorailnews.in/bengaluru-metros-yelachenahalli-anjanapura-line-supposed-to-be-ready-by-november-2020/,NaN,NaN,"Length: https://www.metrorailnews.in/phase-2-of-namma-metro-work-is-expected-to-be-delayed-due-to-lack-of-workers/ says 72 km., Cost: See also https://www.newindianexpress.com/cities/bengaluru/2020/aug/15/hope-to-complete-metro-phase-2-project-in-bengaluru-by-2024-yediyurappa-2183809.html; https://www.metrorailnews.in/trial-run-for-the-first-stretch-of-namma-metro-phase-2-to-be-held-by-august-end/ says 300,950 but is likely a typo. But note that while all these sources are from August 2020, there have been some delays causd by corona, but the costs are the same as in 2018, even a bit lower than https://www.newindianexpress.com/cities/bengaluru/2018/oct/27/namma-metro-phase-2-will-now-cost-rs-32000-crore-deputy-chief-minister-g-parameshwara-1890689.html, so there may be unannounced overruns."
IN,Bangalore,Green line,Phase 1,2006,2017,0,42.3,20,8.5,0,0,41,NaN,Wiki,144050,INR,2011,0.064,9219.2,217.9479905,0,1.354598358,12488.31318,295.2319901,Media,https://economictimes.indiatimes.com/industry/transportation/railways/cost-and-time-overrun-marks-bengaluru-metro-phase-i/articleshow/57550535.cms,NaN,NaN,NaN
IN,Gurgaon,Gurgaon,Phase 1,2009,2013,0,5.5,0,0,0,0,6,NaN,Wiki,10880,INR,2011,0.064,696.32,126.6036364,0,1.354598358,943.2339285,171.4970779,Media,http://archive.indianexpress.com/news/gurgaon-rapid-metro-begins-trial-runs/1011112/0,NaN,NaN,Length: Source says 5.1 km.
IN,Gurgaon,Gurgaon,Phase 2,2013,2017,0,6.3,0,0,0,0,5,NaN,Wiki,24230,INR,2015,0.052,1259.96,199.9936508,0,1.285570233,1619.767071,257.1058843,Media,http://www.ptinews.com/news/8562521_Second-phase-of-Gurgaon-s-Rapid-Metro-launched.html,NaN,NaN,Length: Source says 6.6 km but also says the the phase 1 length is 5.1 km and not 5.5.
IN,Nagpur,Nagpur,Phase 1,2014,2020,0,38.2,0,0,0,0,40,NaN,Media,86800,INR,2014,0.054,4687.2,122.7015707,0,1.287096175,6032.87719,157.9287222,Plan,http://www.metrorailnagpur.com/projectprofile.aspx,NaN,NaN,"Cost: Several sources mention good cost control and even slight underruns, including https://nagpuroranges.com/nagpur-metro-stations-will-look-like/ stating the cost as 82,600 million INR and https://timesofindia.indiatimes.com/city/nagpur/metro-has-saved-rs-600-crore-of-original-project-cost/articleshow/62891229.cms stating a 6 billion underrun., Year: Source for year: https://timesofindia.indiatimes.com/city/nagpur/mahametro-saves-rs1850cr-in-nagpur-metro-phase-ii/articleshow/67371648.cms"
IN,Nagpur,Nagpur,Phase 2,NaN,NaN,0,43.8,0,0,0,0,32,NaN,Plan,112160,INR,2018,0.048,5383.68,122.9150685,0,1.21343491,6532.745257,149.1494351,Media,https://timesofindia.indiatimes.com/city/nagpur/mahametro-saves-rs1850cr-in-nagpur-metro-phase-ii/articleshow/67371648.cms,NaN,NaN,Length: See http://www.metrorailnagpur.com/projectprofile.aspx - but the media source says 48.3.
IN,Ahmadabad,Line,Phase 1,2015,2023,0,40,16,6.4,0,0,33,NaN,Wiki,127000,INR,2019,0.047,5969,149.225,0,1.191839066,7114.087383,177.8521846,Media,https://indianexpress.com/article/cities/ahmedabad/ahmedabad-metro-phase-1-delay-makes-cost-jump-by-rs-2000-cr-6486037/,NaN,NaN,NaN
IN,Hyderabad,Metro,Phase 1,2012,2020,0,72,0,0,0,0,66,NaN,Media,188000,INR,2016,0.05,9400,130.5555556,0,1.269554638,11933.8136,165.7474111,Media,https://www.indiatoday.in/india/story/hyderabad-metro-project-delay-by-l-and-t-pushes-up-cost-by-over-30-per-cent-1094750-2017-11-26,NaN,NaN,"Cost: https://www.livemint.com/industry/infrastructure/hyderabad-metro-rail-becomes-second-largest-metro-network-in-india-see-photos-11581095057705.html says 200 billion, https://www.financialexpress.com/infrastructure/hyderabad-metro-with-phase-i-complete-the-city-now-boasts-indias-second-biggest-metro-network/1876838/ says 165.11 billion has been spent as of February 2020."
IN,Hyderabad,Airport express,Airport express,2020,NaN,0,31,8,2.5,0,0,10,NaN,Media,46500,INR,2020,0.047,2185.5,70.5,0,1.17731472,2573.021321,83.00068776,Media,https://www.thehindu.com/news/cities/Hyderabad/airport-metro-to-have-underground-section-connecting-to-passenger-terminal/article29317205.ece,NaN,NaN,NaN
IN,Chennai,Phase 1,Phase 1,2009,2019,0,45.1,53,24,0,0,34,NaN,Trade,200000,INR,2014,0.054,10800,239.4678492,0,1.287096175,13900.63869,308.2181527,Media,https://www.business-standard.com/article/current-affairs/phase-ii-chennai-metro-project-to-cost-rs-36-000-cr-114022800932_1.html,NaN,NaN,"Tunnel: See http://indiainframonitor.com/projects/report/53157a8997725281c497dda7, Cost: JICA says 241,020 million INR: https://www.jica.go.jp/india/english/office/others/c8h0vm00004cesxi-att/brochure_16.pdf; India Infrastructure Report says 183,700: http://indiainframonitor.com/projects/report/53157a8997725281c497dda7"
IN,Chennai,Phase 1,Phase 1 extension,2016,2020,0,9.1,26,2.4,0,0,9,NaN,Trade,37700,INR,2018,0.048,1809.6,198.8571429,0,1.21343491,2195.831814,241.3001993,Trade,https://themetrorailguy.com/chennai-metro-phase-1-extension-information-route-maps-tenders-updates/,NaN,NaN,NaN
IN,Chennai,Phase 2,Phase 2,2020,2026,0,118.9,36,42.8,0,0,128,NaN,Media,691800,INR,2023,0.047,32514.6,273.4617325,0,1,32514.6,273.4617325,Media,https://www.businesstoday.in/sectors/infra/relief-for-commuters-in-chennai-metro-network-to-expand-phase-ii-work-begins/story/350907.html,NaN,NaN,NaN
CH,Geneva,CEVA,CEVA,2013,2019,1,8.8,96,8.4,0.14,0.212,4,NaN,Measured,1567,CHF,2016,0.68,1065.56,121.0863636,0,1.269554638,1352.78664,153.7257546,Plan,https://www.ceva.ch/2017/05/11/financement-et-organisation/?b=https://www.ceva.ch/category/projet,NaN,NaN,NaN
UA,Kyiv,M3,M3 to Vynohradar,2018,2022,0,3.7,100,3.7,0,0,2,NaN,Plan,5993,UAH,2020,0.121,725.153,195.9872973,0,1.17731472,853.7333012,230.73873,Media,https://www.unian.info/kiev/10350087-kyiv-metro-signs-contract-for-subway-line-construction-to-kyiv-s-vynohradar-district.html,NaN,NaN,"Tunnel: 2.4 by cut-and-cover http://metrobud.kiev.ua/main/eng/projects/works-in-progress/, Cost: Caution: all available cost information predates a one-year delay."
UA,Kyiv,M4,M4,2021,2026,0,20,65,13,0,0,13,NaN,Trade,2000,USD,2023,3,6000,300,0,1,6000,300,Trade,http://www.globalconstructionreview.com/news/china-railway-completes-feasibility-study-kiev-met/,NaN,NaN,NaN
UA,Kharkiv,M3,M3 extension,2018,2024,0,3.5,100,3.5,0,0,2,NaN,Plan,382,EUR,2021,3.9,1489.8,425.6571429,0,1.124486105,1675.2594,478.6455428,Trade,https://www.railwaygazette.com/vehicles/crrc-wins-kharkiv-metro-train-contract/56702.article,NaN,NaN,NaN
TW,Taipei,Sanying Line,Sanying Line,2016,2023,0,14.29,0,0,0,0,12,NaN,Plan,50200,TWD,2019,0.0664,3333.28,233.2596221,0,1.191839066,3972.733321,278.0079301,Plan,https://www.dorts.ntpc.gov.tw/home.jsp?id=90&act=be4f48068b2b0031&dataserno=09b73a18932ab2e245b25cd63399a208,NaN,NaN,Cost: See also https://open33.ntpc.gov.tw/loading_sanying.
TW,Taipei,Danhai LRT,Danhai LRT,2014,2024,0,14,0,0,0,0,20,NaN,Wiki,15300,TWD,2016,0.0664,1015.92,72.56571429,0,1.269554638,1289.765948,92.12613913,Media,https://focustaiwan.tw/society/202003240018,NaN,NaN,"Year: Year is skewed becaus most of the cost was the first phase, which opened 2018: https://www.railwaygazette.com/news/urban/single-view/view/tamsui-light-rail-approved.html"
TW,Taipei,Circular Line,Circular Line first section,2011,2020,0,15.4,7,1.1,0,0,14,NaN,Measured,69970,TWD,2015,0.0664,4646.008,301.6888312,0,1.285570233,5972.769589,387.8421811,Media,https://www.taiwannews.com.tw/en/news/3861624,NaN,NaN,"Source1: Underground length is measured, the rest comes from the popular and trade media., Cost: See also http://www.taipeitimes.com/News/taiwan/archives/2019/10/27/2003724736"
TW,Taipei,Airport MRT,Airport MRT,2006,2017,0,51,21,10.7,0,0,22,NaN,Wiki,113850,TWD,2011,0.0664,7559.64,148.2282353,0,1.354598358,10240.27593,200.7897241,Media,https://www.straitstimes.com/asia/east-asia/taipei-airport-rail-line-ready-to-roll,NaN,NaN,NaN
TW,Taipei,Taoyuan MRT Green Line,Taoyuan MRT Green Line,2019,2026,0,27.8,45,12.5,0,0,21,NaN,Media,98264,TWD,2022,0.0664,6524.7296,234.7025036,0,1.041164511,6793.316904,244.3639174,Plan,https://dorts.tycg.gov.tw/en/business/mrt-green-line,NaN,NaN,"Tunnel: By subtraction from https://topics.amcham.com.tw/2019/03/bringing-mrt-networks-to-taoyuan-and-taichung/, Cost: See also https://focustaiwan.tw/society/201910110007"
TW,Taipei,Taoyuan MRT Brown Line,Taoyuan MRT Brown Line,2019,NaN,0,11.5,0,0,0,0,8,NaN,Plan,19558,TWD,2020,0.0664,1298.6512,112.9261913,0,1.17731472,1528.921174,132.9496673,Plan,https://dorts.tycg.gov.tw/en/business/mrt-brown-line,NaN,NaN,Cost: See also https://topics.amcham.com.tw/2019/03/bringing-mrt-networks-to-taoyuan-and-taichung/
TW,Taipei,Taoyuan Underground,Taoyuan Underground,2019,2030,1,17.9,100,17.9,0,0,8,NaN,Wiki,105600,TWD,2024,0.0664,7011.84,391.722905,0,1,7011.84,391.722905,Media,https://www.cna.com.tw/news/firstnews/201908150041.aspx,NaN,NaN,"Cost: Plan says 96,409: https://dorts.tycg.gov.tw/en/business/taoyuan-railway But source mentions a cost overrun."
TW,Kaohsiung,Red and Orange Lines,Red and Orange Lines,2001,2008,0,43,74,31.8,0,0,38,NaN,Measured,181300,TWD,2004,0.0664,12038.32,279.9609302,0,1.613033351,19418.21165,451.5863174,Trade,https://www.railjournal.com/in_depth/taiwan-transit-in-transition,NaN,NaN,NaN
TW,Kaohsiung,Urban Railway Underground,Urban Railway Underground,2008,2018,1,15.4,100,15.4,0,0,10,NaN,Plan,99870,TWD,2013,0.0664,6631.368,430.6083117,0,1.307975292,8673.665493,563.225032,Plan,https://www.rb.gov.tw/en/showpage.php?lmenuid=24&smenuid=154,NaN,NaN,NaN
TW,Tainan,Underground Project,Underground Project,2019,2024,1,8.2,100,8.2,0,0,3,NaN,Plan,29360,TWD,2021,0.0664,1949.504,237.7443902,0,1.124486105,2192.190161,267.3402635,Plan,https://www.rb.gov.tw/en/showpage.php?lmenuid=24&smenuid=159,NaN,NaN,"RR?: This is regional rail, but the construction is simplified by use of cut-and-cover. https://www.sucoot.com/product-Tainan-Urban-District-Railway-Underground-Project-C0009-20.html"
TW,Taichung,Green Line,Green Line,2010,2020,0,16.7,0,0,0,0,18,NaN,Plan,59337,TWD,2015,0.0664,3939.9768,235.9267545,0,1.285570233,5065.116894,303.3004128,Plan,https://www.rb.gov.tw/en/showpage.php?lmenuid=24&smenuid=75,NaN,NaN,End year: Date confirmed in e.g. https://travel.taichung.gov.tw/en-us/Event/NewsDetail/5875/Taiwan-s-Most-Spacious-MRT-Train-for-the-Expected-Operating-Schedule-of-Taichung-MRT.
AU,Perth,Forrestfield-Airport Link,Forrestfield-Airport Link,2016,2021,1,8.5,100,8.5,0,0,3,NaN,Plan,1860,AUD,2018,0.69,1283.4,150.9882353,1,1.21343491,1557.322364,183.2143957,Plan,https://www.forrestfieldairportlink.wa.gov.au/Portals/14/Project%20Overview%20Fact%20Sheet%20-%20Dec18%20WEB.pdf,NaN,NaN,"Cost: Recent media articles confirm cost and 2021 opening dates: https://infrastructuremagazine.com.au/2020/04/22/metronets-forrestfield-airport-link-reaches-milestone/, https://www.perthnow.com.au/community-news/southern-gazette/forrestfield-airport-link-project-on-track-to-open-in-2021-c-1086512"
JP,Tokyo,Yurikamome,Yurikamome,1988,1995,0,12,0,0,0,0,12,NaN,Trade,170200,JPY,1991,0.0054,919.08,76.59,0,2.237165932,2056.134465,171.3445388,Trade,http://www.ejrcf.or.jp/jrtr/jrtr30/pdf/s42_aok.pdf,NaN,NaN,NaN
AR,Buenos Aires,RER,RER,2020,2026,1,20,100,20,0,0,4,NaN,Media,2300,USD,2023,2.02,4646,232.3,0,1,4646,232.3,Media,https://tn.com.ar/economia/el-gobierno-relanzo-el-rer-el-proyecto-para-conectar-los-trenes-del-area-metropolitana_856411,NaN,NaN,NaN
DE,Nuremberg,U3,U3 extension to Grossreuth,2014,2020,0,1.1,100,1.1,0,0,1,90,Plan,69,EUR,2017,1.3,89.7,81.54545455,0,1.243072781,111.5036284,101.3669349,Media,https://www.nuernberg.de/presse/mitteilungen/presse_68381.html,NaN,NaN,NaN
DE,Cologne,North-South Stadtbahn,North-South Stadtbahn,2003,2015,0,4,100,4,0,0,6,NaN,Wiki,1040,EUR,2009,1.3,1352,338,0,1.420277155,1920.214714,480.0536784,Plan,https://www.nord-sued-stadtbahn.de/projekt/gruende/hintergruende/index.html,NaN,NaN,NaN
DE,Berlin,U8,U8 to Wittenau,1985,1994,0,3.6,100,3.6,0,0,4,100,Wiki,520,EUR,2020,1.3,676,187.7777778,0,1.17731472,795.8647507,221.0735419,Trade,https://signalarchiv.de/Meldungen/10003834,NaN,NaN,"Length: Source says 4.2 km but this includes tail tracks., Cost: Converted (and, uniquely for this table, inflation-adjusted) from 600 million DM."
DE,Berlin,U2,U2 to Pankow,1997,2000,0,0.8,100,0.8,0,0,1,100,Media,54,EUR,1998,1.3,70.2,87.75,0,1.869337423,131.2274871,164.0343589,Media,https://www.berliner-zeitung.de/endspurt-auf-der-baustelle-die-strecke-von-vinetastrasse-nach-bahnhof-pankow-wird-puenktlich-fertig-und-billiger-u-bahn-linie-2-ab-sonnabend-sind-die-pankower-am-zug-li.33430,NaN,NaN,Cost: Converted from 105 million DM.
DE,Frankfurt,U-Bahn Europaviertel,U-Bahn Europaviertel,2019,2025,0,2.7,52,1.4,0,0,4,NaN,Measured,373.5,EUR,2022,1.3,485.55,179.8333333,0,1.041164511,505.5374284,187.2360846,Media,https://www.fnp.de/frankfurt/frankfurt-u-bahn-u5-verlaengerung-spaeter-teurer-wegen-eva-zr-13449222.html,NaN,NaN,"Tunnel: Source says 850 m but excludes a shorter tunnel under a park, and the exact portals are easily visible on Google Earth."
PE,Lima,Line 2,Line 2,2014,2025,0,35,100,35,0,0,35,NaN,Trade,5836,USD,2019,1.9,11088.4,316.8114286,0,1.191839066,13215.5883,377.588237,Plan,https://projects.worldbank.org/en/projects-operations/project-detail/P145610,NaN,NaN,"Length: The line is to be 27 km but the construction project is 35 km including a segment to be turned over to Line 4 in the future: https://www.railwaygazette.com/lima-metro-line-2-concession-awarded/39351.article, Cost: Including rolling stock, consisting of 42 120 meter long vehicles, which typically cost around $500 million."
MY,Kuala Lumpur,Kajang Line,Kajang Line,2012,2017,0,51,19,9.5,0,0,31,NaN,Wiki,21000,MYR,2014,0.7,14700,288.2352941,0,1.287096175,18920.31377,370.9865445,Media,https://www.nst.com.my/news/nation/2017/07/258054/sbk-mrt-proud-achievement-which-will-save-commuters-cost-time-pm,NaN,NaN,Cost: See also https://www.nst.com.my/news/2016/12/197743/mrt-corp-says-rafizi-got-it-wrong-rm21bil-both-phase-1-and-2-sbk-line and https://www.malaymail.com/news/malaysia/2017/07/24/najib-mrt-a-success-story-built-at-reasonable-cost/1427789
MY,Kuala Lumpur,Putrajaya Line (MRT 2),Putrajaya Line (MRT 2),2016,2023,0,52.2,26,13.5,0,0,41,NaN,Wiki,30530,MYR,2019,0.7,21371,409.4061303,0,1.191839066,25470.79267,487.9462198,Media,https://www.thestar.com.my/business/business-news/2020/01/17/mrt-2-at-70-completion-guan-eng-says,NaN,NaN,NaN
TR,Istanbul,M2,M2,1992,2014,0,23.5,91,21.5,0,0,17,180,Plan,2510,USD,2003,2,5020,213.6170213,0,1.65598913,8313.065435,353.7474653,Plan,"https://rayhaberleri.wordpress.com/1998/10/22/proje-bilgisi-taksim-yenikapi-metro-hatti/, https://rayhaber.com/2009/02/proje-bilgisi-halic-metro-gecis-koprusu-insaati/, https://rayhaber.com/2004/10/proje-bilgisi-istanbul-metrosu-4-levent-ayazaga-kesimi-depo-sahasi-ve-baglanti-hatlari-insaat-isi/",NaN,NaN,NaN
TR,Istanbul,M3,M3 Phase 1,2006,2013,0,16.1,100,15.9,0,0,11,180,Media,1344,USD,2010,1.6,2150.4,133.5652174,0,1.397356642,3004.875724,186.6382437,Media,https://www.sabah.com.tr/Gundem/2013/06/14/istanbula-yeni-metro,NaN,NaN,NaN
TR,Istanbul,M4,M4 Phase 1,2005,2012,0,21.7,100,21.7,0,0,16,180,Plan,1299,USD,2009,1.7,2208.3,101.764977,0,1.420277155,3136.398041,144.534472,Media,https://railturkey.org/2016/10/15/kadikoy-kartal-tavsantepe-metro-m4/2/,NaN,NaN,NaN
TR,Istanbul,M4,M4 Phase 2,2013,2016,0,4.4,100,4.4,0,0,3,180,Media,151,USD,2015,2.3,347.3,78.93181818,0,1.285570233,446.478542,101.4723959,Media,https://railturkey.org/2016/10/15/kadikoy-kartal-tavsantepe-metro-m4/2/,NaN,NaN,NaN
TR,Istanbul,M5,M5 Phase 1,2011,2018,0,19.7,100,19.7,0,0,16,140,Plan,866,USD,2015,2.3,1991.8,101.106599,0,1.285570233,2560.598791,129.9796341,Media,http://www.uskudarumraniyecekmekoymetrosu.com/ana-sayfa/projenin-tarihcesi.aspx,NaN,NaN,NaN
TR,Istanbul,Marmaray,BC1,2004,2013,1,13.6,100,13.6,0,0,4,225,Plan,1823,USD,2009,1.7,3099.1,227.875,0,1.420277155,4401.580931,323.6456567,Plan,NaN,NaN,NaN,NaN
TR,Istanbul,Marmaray,CR3,2011,2019,1,63,0,0,0,0,36,225,Plan,1298,USD,2015,2.3,2985.4,47.38730159,0,1.285570233,3837.941375,60.91970436,Trade,https://www.railwaygazette.com/infrastructure/marmaray-upgrading-works-resume/43921.article,NaN,NaN,NaN
TR,Istanbul,M7,M7 Phase1-2,2014,2024,0,23.75,96,22.85,0,0,19,180,Plan,896,USD,2019,3,2688,113.1789474,0,1.191839066,3203.663408,134.8910909,Media,https://rayhaber.com/2015/05/kabatas-mecidiyekoy-mahmutbey-metro-hatti-projesi-elektromekanik-sistemler-temin-montaj-ve-isletmeye-alma-isleri-ihalesini-kazanan-alsim-alarko-ile-sozlesme-imzalandi/,NaN,NaN,NaN
TR,Izmir,M1,M1 (Phase 1),1995,2000,0,11.6,29,3.4,0,0,10,NaN,Plan,600,USD,1998,2,1200,103.4482759,0,1.869337423,2243.204908,193.3797334,Media,https://www.hurriyet.com.tr/ege/metroluyuz-39155285,NaN,NaN,NaN
TR,Izmir,M1,M1  (Phase 2),2005,2014,0,5.35,100,5.35,0,0,6,NaN,Plan,252,TRY,2010,1.1,277.2,51.81308411,0,1.397356642,387.3472613,72.40135724,Plan,https://www.uab.gov.tr/uploads/pages/kutuphane/d38e678334e19c8.pdf,NaN,NaN,NaN
TR,Izmir,M1,M1 (Phase 3),2010,2012,0,2.25,100,2.25,0,0,2,NaN,Plan,106,TRY,2011,1,106,47.11111111,0,1.354598358,143.5874259,63.81663374,Plan,https://www.uab.gov.tr/uploads/pages/kutuphane/d38e678334e19c8.pdf,NaN,NaN,NaN
TR,Ankara,M4,M4,2003,2017,0,9.22,100,9.22,0,0,9,NaN,Plan,1000,TRY,2010,1.1,1100,119.3058568,0,1.397356642,1537.092307,166.7128315,Media,https://www.cnnturk.com/turkiye/efsanevi-kecioren-metrosu-aciliyor,NaN,NaN,NaN
TR,Bursa,Bursaray,Bursaray,1997,2014,0,39,16,6.25,0,0,38,NaN,Media,425,EUR,2006,2.1,892.5,22.88461538,0,1.511418651,1348.941146,34.58823451,Media,"https://rayhaber.com/2011/04/en-hesapli-bursaray-ihalesi-kestel-etabinin-kilometre-maliyeti-universite-etabinin-ucte-biri/, https://rayhaberpozitif.wordpress.com/tag/hasim-iscan-caddesi/, https://www.haberler.com/bursaray-kestel-hattinin-temeli-atildi-insaat-1-5-2901776-haberi/",NaN,NaN,NaN
CN,Beijing,Line 4,Line 4,2004,2009,0,28.2,95,26.837,0,0,24,117,Media,15380,CNY,2005,0.3519,5412.222,191.922766,0,1.560174091,8444.00854,299.4329269,Media,http://zizhan.mot.gov.cn/zhuantizhuanlan/qita/quanqiuhuanjingjijin/zhishigongxiang/201601/P020160125565596507649.pdf,NaN,NaN,NaN
CN,Beijing,Capital Airport Express,Capital Airport Express west extenion,2016,2020,0,1.83,100,1.83,NaN,NaN,1,68,NaN,1800,CNY,2018,0.237,426.6,233.1147541,0,1.21343491,517.6513327,282.8695807,Media,https://new.qq.com/omn/20210301/20210301A0E4JW00.html,NaN,NaN,NaN
CN,Beijing,Line 13,Line 13,1999,2003,0,40.85,0,0,13.855,26.995,17,117,Wiki,6570,CNY,1999,0.367,2411.19,59.025459,0,1.828943577,4409.930464,107.9542341,Media,http://www.wikiwand.com/zh-sg/%E5%8C%97%E4%BA%AC%E5%9C%B0%E9%93%8113%E5%8F%B7%E7%BA%BF,NaN,NaN,NaN
CN,Shanghai,Line 1,Line 1 (Shanghai Railway Station to Jinjiang Park),1990,1995,0,16.1,NaN,NaN,NaN,NaN,13,NaN,Wiki,5390,CNY,1995,0.365,1967.35,122.1956522,0,1.999356955,3933.434906,244.3127271,Media,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A1%E5%8F%B7%E7%BA%BF,NaN,NaN,NaN
CN,Shanghai,Line 2,Line 2 Phase 1,1995,1999,0,16.3,100,16.3,0,0,12,NaN,Wiki,12400,CNY,1995,0.365,4526,277.6687117,0,1.999356955,9049.08958,555.1588699,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A2%E5%8F%B7%E7%BA%BF,NaN,NaN,NaN
CN,Shanghai,Line 2,Line 2 Eastern Extension 1,1999,2000,0,2.72,32,0.87,0.305,1.5718,1,NaN,Wiki,314.77,CNY,1999,0.367,115.52059,42.47080515,0,1.828943577,211.2806411,77.6767063,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A2%E5%8F%B7%E7%BA%BF,NaN,NaN,NaN
CN,Shanghai,Line 2,Line 2 Western Extension 1,2001,2006,0,6.155,100,6.155,0,0,4,NaN,Wiki,3488.42,CNY,2004,0.355,1238.3891,201.2005037,0,1.613033351,1997.56292,324.5431226,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A2%E5%8F%B7%E7%BA%BF,NaN,NaN,NaN
CN,Shanghai,Line 2,Line 2 Eastern Extension 2,2006,2010,0,30.8,70,21.5,8.565,0.983,10,NaN,Measured,11032,CNY,2008,0.315,3475.08,112.8272727,0,1.415224126,4918.017056,159.6758784,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A2%E5%8F%B7%E7%BA%BF,NaN,NaN,NaN
CN,Shanghai,Line 2,Line 2 Western Extension 2,NaN,2010,0,8.53,NaN,NaN,NaN,NaN,3,NaN,Wiki,2500,CNY,2010,0.3,750,87.92497069,0,1.397356642,1048.017482,122.8625418,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A2%E5%8F%B7%E7%BA%BF,NaN,NaN,NaN
CN,Shanghai,Line 3,Line 3,1997,2000,0,24.975,0,0,21.605,3.375,NaN,NaN,Wiki,9378,CNY,1998,0.357,3347.946,134.0518919,0,1.869337423,6258.440749,250.5882182,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A3%E5%8F%B7%E7%BA%BF,NaN,NaN,NaN
CN,Shanghai,Line 3,Line 3 Northern Extension,NaN,2006,0,15.365,13,1.979,13.395,0.1306,10,NaN,Wiki,3500,CNY,2006,0.349,1221.5,79.49886105,0,1.511418651,1846.197882,120.1560613,Plan,https://zh.wikipedia.org/wiki/%E4%B8%8A%E6%B5%B7%E8%BD%A8%E9%81%93%E4%BA%A4%E9%80%9A3%E5%8F%B7%E7%BA%BF,NaN,NaN,NaN
